© 2000-2022 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
IRF7	 	transcription regulator	Activated	2.449	1.21E-01	2.91E-01	CD69,IFI16,Igtp,Irgm1,Ly6a (includes others),PLAC8	 
RELA	 	transcription regulator	 	1.969	1.39E-01	2.98E-01	AHR,APOE,BIRC5,CD274,FOS,JUN,MYC,NR4A1	 
PPIF	 	enzyme	Activated	2.646	1.46E-01	3.08E-01	ACKR4,Ccl6,CCR1,CCR6,MCM6,PIF1,TIPIN	 
SETD2	 	enzyme	Inhibited	-2.000	1.50E-01	3.15E-01	FOXO3,HHEX,JUN,RHOB	 
SPP1	 	cytokine	 	1.982	1.59E-01	3.29E-01	Acp5,BCL2,HMGCR,S100A6	 
Hbb-b2	 	other	Activated	2.000	1.68E-01	3.37E-01	IL10RA,IL2RG,LTB,LY86	 
IRF3	 	transcription regulator	Activated	2.121	1.72E-01	3.37E-01	CD274,CD69,Havcr1,IFI16,Igtp,Irgm1,PLAC8,PML	 
mir-155	 	microRNA	Inhibited	-2.184	1.72E-01	3.37E-01	CEBPB,DNAJB1,PECAM1,PGAM1,SOCS3	 
PKD1	 	ion channel	 	-1.786	1.75E-01	3.37E-01	Acp5,BCAT1,FOSB,GATM,GRAP2,IER2,KCTD14,MYC,NAPSA,PDE4B	 
TNFRSF1A	 	transmembrane receptor	Activated	2.804	1.83E-01	3.50E-01	CDC6,E2F1,E2F8,JUN,KNTC1,LGALS9B,SELL,SOCS3	 
LEP	 	growth factor	 	1.812	1.92E-01	3.62E-01	ANGPTL4,ASS1,BCL2,BIRC5,Chil3/Chil4,ECH1,FAAH,FOS,HMGCR,JUN	 
GNAS	 	enzyme	 	1.982	2.46E-01	4.10E-01	CDK2,FOS,KLF4,NR4A1	 
MIR17HG	 	other	 	-1.890	2.50E-01	4.10E-01	CCNE1,HOPX,KLF2,MAP3K1,NOTCH2,Sik1,SKI	 
DIO3	 	enzyme	 	-1.897	2.93E-01	4.51E-01	B4GALNT1,CIRBP,HLA-A,IER5,KIF18A,KIF2C,LAPTM5,NFAM1,PLK1,SYCE2	 
OSM	3.544	cytokine	 	1.951	3.52E-01	4.96E-01	FOS,JUNB,SOCS3,ZFP36	 
EIF6	 	translation regulator	Inhibited	-2.449	4.12E-01	5.46E-01	ACAT2,FADS2,FDPS,HMGCR,HMGCS1,Rps27/Rps27rt	 
TNFRSF1B	 	transmembrane receptor	Activated	2.000	4.59E-01	5.79E-01	CTLA4,JUN,SELL,SOCS3	 
ITGB1	 	transmembrane receptor	Activated	2.200	5.24E-01	6.25E-01	GBP2,HLA-A,ITGB3,ITGB7,VIM	 
NFkB (complex)	 	complex	 	1.969	1.00E00	1.00E00	BPIFA1,CD69,HLA-A,SOCS3,Wfdc17	 
RICTOR	 	other	 	1.929	1.00E00	1.00E00	ATP5MC3,ATP6AP1,ATP6V0B,BAD,CD69,IFI16,PSMB7,PSMD1,Slfn2,TAZ	 
Alpha catenin	 	group	Inhibited	-2.236	1.00E00	1.00E00	CTSB,IL2RG,LYZ,SOCS3,VIM	 
ACOX1	 	enzyme	Inhibited	-2.449	1.00E00	1.00E00	IMPACT,KLF6,LGALS3,LY6D,PIPOX,PLSCR1	 
